ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source
1,Amharic,Africa,11.708182,39.543456,amha1245,amh,Hartmann1980
2,Dizi,Africa,6.1405,35.5763,dizi1235,mdx,Allan1976
3,Fula,Africa,10.9972,11.1188,nige1253,fuv,Arnott1970
4,Fur,Africa,12.0455,23.6401,furr1244,fvr,Beaton1968
5,Gbeya,Africa,6.61896,17.645,gbay1287,gbp,Samarin1966
6,Hausa,Africa,11.1513,8.7804,haus1257,hau,Howeidy1959;Kraft1963
7,lk,Africa,3.61407,34.2507,ikkk1242,ikx,Tucker1971;Tucker1972;Tucker1973
8,!Kung,Africa,-21.92,18.0,kung1261,knw,Snyman1970
9,Logbara,Africa,3.02245,30.8642,lugb1240,lgg,Crazzolara1960
10,Luganda,Africa,0.66884,32.15153,gand1255,lug,Ashton&al1954
11,Maasai,Africa,-3.1419,36.4573,masa1300,mas,Tucker&Mpaayei1955
12,Mandinka,Africa,12.8165233333,-15.6539466667,mand1436,mnk,Creissels1983
13,Nama,Africa,-25.0747,17.9767,nama1264,naq,Hagman1977
14,Nera,Africa,15.3251,37.499,nara1262,nrb,Thompson1976
15,Orig,Africa,,,orig1235,,Schadeberg&Elias1979
16,Oromo,,,,cent2302,,Heine1980;Owens1985
17,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,Dempwolff1916;vandeKimmenade1954
18,Songhai,Africa,12.8554,2.41173,zarm1239,dje,Tersis-Surugue1981;Nicolai1983;Hacquard&Dupuis1897
19,Yoruba,Africa,7.15345,3.67225,yoru1245,yor,
20,Akkadian,Eurasia,33.1,44.1,akka1240,akk,
21,Elamite,Eurasia,31.1833,48.2333,elam1244,elx,
22,Hittite,Eurasia,40.0,35.0,hitt1242,hit,
23,Hurrian,Eurasia,40.7339,43.3154,hurr1240,xhu,
24,Sumerian,Eurasia,31.3,45.6667,sume1241,sux,
25,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,abk,
26,Armenian,Eurasia,40.0,45.0,nucl1235,hye,
27,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,
28,Chechen,Eurasia,43.5,45.5,chec1245,che,
29,English,Eurasia,53.0,-1.0,stan1293,eng,
30,French,Eurasia,48.0,2.0,stan1290,fra,
31,Georgian,Eurasia,41.850397,43.78613,nucl1302,kat,
32,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,
33,Russian,Eurasia,59.0,50.0,russ1263,rus,
34,Zyrian,Eurasia,64.0527,54.946,komi1268,kpv,
35,Ainu,,,,ainu1252,,
36,Chukchi,Eurasia,68.6436,170.045,chuk1273,ckt,
37,Gilyak,Eurasia,52.59,140.681,gily1242,niv,
38,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,
39,Ket,Eurasia,63.7551,87.5466,kett1243,ket,
40,Korean,Eurasia,37.54,126.98,kore1280,kor,
41,Mongolian,Eurasia,48.32397,106.28874,halh1238,khk,
42,Nanai,Eurasia,48.43426,134.79726,nana1257,gld,
43,Tuva,Eurasia,51.7,94.36667,tuvi1240,tyv,
44,Yukagir,Eurasia,70.498,157.853,nort2745,ykg,
45,Yurak,Eurasia,66.1775,71.0234,nene1249,yrk,
46,Acehnese,Papunesia,3.90757,96.6032,achi1257,ace,
47,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,
48,Gurung,Eurasia,27.41687,86.28988,guru1261,gvr,
49,Kota,Eurasia,11.4978,76.9387,kota1263,kfe,
50,Mandarin,Eurasia,40.0209,116.228,mand1415,cmn,
51,Miao,,,,nucl1720,,
52,Nahali,Eurasia,21.1886,76.3318,niha1238,nll,
53,Temiar,Eurasia,4.974,101.438,temi1246,tea,
54,Thai,Eurasia,14.192,100.671,thai1261,tha,
55,Waigali,Eurasia,35.191171,70.993533,waig1243,wbk,
56,Abelam,Papunesia,-3.7801,143.059,ambu1247,abt,Wilson1980;Laycock1965
57,Alamblak,Papunesia,-4.66307,143.316,alam1246,amp,
58,Amele,Papunesia,-5.29126,145.687,amel1241,aey,
59,Arapesh,Papunesia,-3.47169,143.111,buki1249,ape,
60,Asmat,Papunesia,-5.80391,138.471,cent2117,cns,
61,Awtuw,Papunesia,-3.53129,141.928,awtu1239,kmn,
62,Barai,Papunesia,-9.46246,147.899,nucl1630,bbb,Olson1981
63,Hua,Papunesia,-6.353409,145.339379,huaa1250,,
64,Kâte,Papunesia,-6.4795,147.757,kate1253,kmg,
65,Kewa,Papunesia,-6.32097,143.73,west2599,kew,
66,Kiwai,Papunesia,-7.39215,144.667,nort2930,kiw,
67,Kobon,Papunesia,-5.16446,144.46,kobo1249,kpw,
68,Kombai,Papunesia,-5.54543,139.902,komb1274,tyn,
69,Ku Waru,Papunesia,-5.8626,144.086,boun1245,mux,
70,Salt-Yui,Papunesia,-6.26519,145.021,salt1242,sll,
71,Sentani,Papunesia,-2.6013,140.512,nucl1632,set,
72,Suena,Papunesia,-7.76339,147.534,suen1241,sue,
73,Tawala,Papunesia,-10.3115,150.644,tawa1275,tbo,
74,Telefol,Papunesia,-5.07444,141.731,tele1256,tlf,
75,Vanimo,Papunesia,-2.68501,141.258,vani1248,vam,
76,Waris,Papunesia,-3.139,140.931,wari1266,wrs,
77,Yali,Papunesia,-3.76869,139.26,pass1247,yac,
78,Yessan-Mayo,Papunesia,-4.15721,142.574,yess1239,yss,
79,Yimas,Papunesia,-4.71731,143.572,yima1243,yee,
80,Djingili,Australia,-17.165,133.659,djin1251,jig,
81,Dyirbal,Australia,-17.4516,145.544,dyir1250,dbl,
82,Garawa,Australia,-17.4504,137.72014,gara1269,wrk,
83,Gunwinggu,Australia,-12.3398,133.358,gunw1252,gup,
84,Kuniyanti,Australia,-18.4073,126.351,goon1238,gni,
85,Malak-Malak,Australia,-13.427,130.664,mull1237,mpb,
86,Mangarayi,Australia,-14.8,133.5,mang1381,mpc,
87,Martuthunira,Australia,-20.9294,116.607,mart1255,vma,
88,Maung,Australia,-11.66,133.376,maun1240,mph,
89,Ngiyambaa,Australia,-30.6481,146.18,wang1291,wyb,
90,Nunggubuyu,Australia,-14.2623,135.753,nung1290,nuy,
91,Nyigina,Australia,-17.9594,124.348,nyig1240,nyh,
92,Tiwi,Australia,-11.6308,130.949,tiwi1244,tiw,
93,Unigarinjin,Australia,-16.4006,126.433,ngar1284,ung,
94,Uradhi,,,,urad1238,,
95,Warndarang,Australia,-14.2996,135.705,wand1263,wnd,
96,WembaWemba,Australia,-34.13829932,143.6694397,west2443,,
97,W. Desert,Australia,-26.4064,133.577,yank1247,kdd,
98,Yukulta,Australia,-17.5446,139.426,gang1267,gcd,
99,Chamorro,Papunesia,13.438011,144.74474,cham1312,cha,
100,Drehu,Papunesia,-20.8892,167.229,dehu1237,dhv,
101,Konua,Papunesia,-5.78724,154.834,rapo1238,kyx,
102,Nasioi,Papunesia,-6.46022,155.632,naas1242,nas,
103,Ponapean,Papunesia,6.87212,158.223,pohn1238,pon,
104,SuIka,Papunesia,-5.03471,151.891,sulk1246,sua,
105,West Futuna,Papunesia,,,west2515,,
106,Acoma,North America,,,acom1246,,
107,Chimariko,North America,41.0,-123.0,chim1301,cid,
